"doy","Prop_foraging_day","Quality_crop","Quality_nat","Prop_foraging_crop"
97,0,0.831127562505025,0,0.73
98,0,0.835253608864116,0,0.73
99,0,0.844720691469558,0,0.73
100,0,0.854187774075001,0,0.73
101,0,0.863654856680443,0,0.73
102,0,0.873121939285885,0,0.73
103,0,0.882589021891327,0,0.73
104,0,0.892056104496771,0,0.73
105,0,0.901523187102213,0,0.73
106,0,0.910990269707655,0,0.73
107,0,0.920457352313098,0,0.73
108,0,0.92992443491854,0,0.73
109,0,0.939391517523982,0,0.73
110,0,0.948858600129424,0,0.73
111,1,0.958325682734868,0,0.73
112,0,0.96779276534031,0,0.73
113,0,0.977259847945752,0,0.73
114,1,0.986726930551194,0,0.73
115,0,0.987556497391744,0,0.73
116,0,0.988386064232294,0,0.73
117,0,0.989215631072845,0,0.73
118,0,0.990045197913396,0,0.73
119,0,0.990874764753946,0,0.73
120,0,0.991704331594497,0,0.73
121,0,0.992533898435047,0,0.73
122,0,0.993363465275597,0,0.73
123,0,0.994193032116147,0,0.73
124,0,0.995022598956697,0,0.73
125,1,0.995852165797248,0,0.73
126,1,0.996681732637798,0.893207995651601,0.384984189254336
127,0,0.997511299478349,0.897599828453166,0.384243033501679
128,1,0.998340866318899,0.901991661254733,0.383505950583987
129,1,0.99917043315945,0.906383494056298,0.38277290702139
130,1,1,0.910775326857864,0.382043869699968
131,1,0.99851527045315,0.914344313783549,0.381060979821822
132,1,0.9970305409063,0.917913300709235,0.380080229531727
133,1,0.99554581135945,0.921482287634921,0.379101611850986
134,0,0.994061081812601,0.925051274560606,0.378125119831222
135,0,0.99257635226575,0.928620261486291,0.377150746554207
136,0,0.991091622718901,0.932189248411977,0.376178485131704
137,0,0.989606893172051,0.935758235337662,0.375208328705301
138,1,0.988122163625202,0.939327222263348,0.374240270446254
139,0,0.986637434078351,0.942896209189032,0.373274303555322
140,0,0.985152704531502,0.946465196114718,0.372310421262612
141,0,0.983667974984652,0.950034183040404,0.371348616827417
142,1,0.982183245437803,0.95360316996609,0.370388883538063
143,1,0.980698515890953,0.957172156891775,0.369431214711748
144,1,0.979213786344103,0.960741143817461,0.368475603694392
145,0,0.977729056797254,0.964310130743145,0.367522043860481
146,0,0.976244327250403,0.967879117668831,0.36657052861291
147,0,0.974759597703554,0.971448104594517,0.365621051382836
148,1,0.973274868156704,0.975017091520203,0.364673605629527
149,0,0.971790138609855,0.978586078445887,0.363728184840207
150,0,0.970305409063004,0.982155065371573,0.36278478252991
151,1,0.968820679516155,0.985724052297258,0.361843392241334
152,0,0.967335949969305,0.989293039222944,0.360904007544687
153,1,0.965851220422456,0.99286202614863,0.359966622037548
154,1,0.964366490875605,0.996431013074314,0.359031229344717
155,1,0.962881761328756,1,0.358097823118071
156,1,0.965854596905479,0.99513391244325,0.359550222951161
157,1,0.968827432482203,0.990267824886502,0.361005429956438
158,1,0.971800268058926,0.985401737329752,0.362463452280254
159,0,0.974773103635651,0.980535649773002,0.363924298100509
160,1,0.977745939212374,0.975669562216254,0.365387975626808
161,1,0.980718774789097,0.970803474659504,0.366854493100616
162,1,0.983691610365821,0.965937387102754,0.368323858795408
163,1,0.974193650995159,0.965061450104522,0.366718831794328
164,1,0.964695691624496,0.964185513106288,0.365096540501659
165,1,0.955197732253833,0.963309576108055,0.363456704859092
166,1,0.94569977288317,0.962433639109821,0.361799038717975
167,1,0.936201813512507,0.961557702111589,0.360123249672854
168,1,0.926703854141845,0.960681765113355,0.358429038889522
169,1,0.917205894771182,0.959805828115123,0.356716100927367
170,1,0.907707935400519,0.958929891116889,0.354984123555796
171,1,0.898209976029856,0.958053954118656,0.353232787564501
172,1,0.888712016659194,0.957178017120422,0.35146176656733
173,1,0.879214057288531,0.95630208012219,0.349670726799505
174,1,0.869716097917867,0.955426143123956,0.347859326907932
175,1,0.860218138547206,0.954550206125724,0.346027217734303
176,1,0.850720179176543,0.95367426912749,0.344174042090732
177,1,0.841222219805879,0.952798332129256,0.342299434527601
178,1,0.831724260435216,0.951922395131024,0.340403021093299
179,1,0.822226301064553,0.95104645813279,0.338484419085539
180,1,0.812728341693891,0.950170521134557,0.336543236793882
181,1,0.803230382323228,0.949294584136323,0.334579073233129
182,1,0,0.948418647138091,0
183,1,0,0.947542710139857,0
184,1,0,0.946666773141625,0
185,1,0,0.945790836143391,0
186,1,0,0.944914899145158,0
187,1,0,0.944038962146924,0
188,1,0,0.934835868443239,0
189,1,0,0.925632774739554,0
190,1,0,0.916429681035869,0
191,1,0,0.907226587332184,0
192,1,0,0.898023493628497,0
193,1,0,0,0
194,1,0,0,0
195,1,0,0,0
196,1,0,0,0
197,1,0,0,0
198,1,0,0,0
199,1,0,0,0
200,1,0,0,0
201,1,0,0,0
202,1,0,0,0
203,1,0,0,0
204,1,0,0,0
205,1,0,0,0
206,1,0,0,0
207,1,0,0,0
208,1,0,0,0
209,1,0,0,0
210,1,0,0,0
211,1,0,0,0
212,1,0,0,0
213,1,0,0,0
214,1,0,0,0
215,1,0,0,0
216,1,0,0,0
217,1,0,0,0
218,1,0,0,0
219,1,0,0,0
220,1,0,0,0
221,1,0,0,0
222,1,0,0,0
223,1,0,0,0
224,1,0,0,0
225,1,0,0,0
226,1,0,0,0
227,1,0,0,0
228,1,0,0,0
229,1,0,0,0
230,1,0,0,0
231,1,0,0,0
232,1,0,0,0
233,1,0,0,0
234,1,0,0,0
235,1,0,0,0
236,1,0,0,0
237,1,0,0,0
238,1,0,0,0
239,1,0,0.896913008772238,0
240,1,0,0.905929032644798,0
241,1,0,0.914945056517357,0
242,1,0,0.923961080389917,0
243,1,0,0.925800406952917,0
244,1,0,0.927639733515916,0
245,1,0,0.929479060078916,0
246,1,0,0.931318386641917,0
247,1,0,0.933157713204917,0
248,1,0,0.934997039767917,0
249,1,0,0.936836366330917,0
250,1,0,0.938675692893917,0
251,1,0,0.940515019456917,0
252,1,0,0.942354346019916,0
253,1,0,0.944193672582916,0
254,1,0,0.946032999145916,0
255,1,0.802912554874001,0.947872325708916,0.334779087687159
256,1,0.808536896852203,0.949711652271916,0.335693116309486
257,1,0.814161238830405,0.951550978834917,0.336599417730737
258,1,0.819785580808606,0.953390305397917,0.337498089527133
259,1,0.825409922786808,0.955229631960916,0.338389227638907
260,1,0.83103426476501,0.957068958523916,0.339272926404446
261,1,0.836658606743211,0.958908285086916,0.340149278593585
262,1,0.842282948721413,0.960747611649916,0.341018375440071
263,1,0.847907290699614,0.962586938212916,0.341880306673224
264,1,0.853531632677816,0.964426264775916,0.342735160548823
265,1,0.859155974656018,0.966265591338915,0.343583023879227
266,1,0.864780316634219,0.968104917901915,0.344423982062765
267,1,0.87040465861242,0.969944244464915,0.34525811911241
268,1,0.858516594914307,0.961992117677148,0.344253839573954
269,1,0.846628531216193,0.95403999088938,0.343227429257846
270,1,0.834740467518079,0.946087864101611,0.342178148487774
271,1,0.822852403819966,0.938135737313845,0.341105224253144
272,1,0.810964340121851,0.930183610526076,0.340007848309876
273,1,0,0.922231483738308,0
274,1,0,0.914279356950541,0
275,0,0,0.906205097793482,0
276,0,0,0.898130838636424,0
277,0,0,0.890056579479365,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0,0
297,0,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0.80499412841471,0,0.73
321,0,0.80969192631653,0,0.73
322,0,0.814389724218349,0,0.73
323,0,0.822568355699836,0,0.73
324,0,0.830746987181323,0,0.73
325,0,0.83892561866281,0,0.73
326,0,0.847104250144297,0,0.73
327,0,0.855282881625783,0,0.73
328,0,0.86346151310727,0,0.73
329,0,0.871640144588756,0,0.73
330,0,0.879818776070244,0,0.73
331,0,0.88799740755173,0,0.73
332,0,0.883906739944319,0,0.73
333,0,0.879816072336908,0,0.73
334,0,0.875725404729496,0,0.73
335,0,0.871634737122085,0,0.73
336,0,0.867544069514674,0,0.73
337,0,0.863453401907262,0,0.73
338,0,0.85936273429985,0,0.73
339,0,0.855272066692439,0,0.73
340,0,0.851181399085028,0,0.73
341,0,0.847090731477616,0,0.73
342,0,0.843000063870205,0,0.73
343,0,0.838909396262794,0,0.73
344,0,0.834818728655383,0,0.73
345,0,0.830728061047971,0,0.73
346,0,0.82663739344056,0,0.73
347,0,0.822546725833149,0,0.73
348,0,0.818456058225738,0,0.73
349,0,0.814365390618326,0,0.73
350,0,0.810274723010915,0,0.73
351,0,0.806184055403504,0,0.73
352,0,0.802093387796092,0,0.73
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0.80595204276535,0,0.73
357,0,0.811972037857391,0,0.73
358,0,0.81799203294943,0,0.73
359,0,0.824012028041471,0,0.73
360,0,0.830032023133512,0,0.73
361,0,0.836052018225552,0,0.73
362,0,0.842072013317592,0,0.73
363,0,0.848092008409632,0,0.73
364,0,0.848092008409632,0,0.73
365,0,0.848092008409632,0,0.73
